,lat,lon,transposition_factor,tilt,azimuth,POA_GLOBAL_IRRADIANCE
0,-20.75,57.099998474121094,1.0716237,20,-10,255.89868
0,-20.75,57.150001525878906,1.0716312,20,-10,255.8737
0,-20.75,57.20000076293945,1.0731362,20,-10,255.92921
0,-20.75,57.25,1.0728557,20,-10,255.6211
0,-20.75,57.29999923706055,1.0721657,20,-10,253.92992
0,-20.75,57.349998474121094,1.072162,20,-10,253.87994
0,-20.75,57.400001525878906,1.0715123,20,-10,252.50659
0,-20.75,57.45000076293945,1.0710347,20,0,253.07634
0,-20.75,57.5,1.0710166,20,0,252.96877
0,-20.75,57.54999923706055,1.0704035,20,0,252.28244
0,-20.75,57.599998474121094,1.0710913,20,0,252.97154
0,-20.75,57.650001525878906,1.0710995,20,0,252.94449
0,-20.75,57.70000076293945,1.0722084,20,0,256.05692
0,-20.75,57.75,1.0720359,20,0,255.5753
0,-20.75,57.79999923706055,1.0720097,20,0,255.5073
0,-20.75,57.849998474121094,1.0720176,20,0,256.26578
0,-20.75,57.900001525878906,1.0704638,20,0,253.26163
0,-20.75,57.95000076293945,1.0705078,20,0,253.26163
0,-20.75,58.0,1.0686904,20,0,248.42194
0,-20.700000762939453,57.099998474121094,1.072313,20,-10,255.8043
0,-20.700000762939453,57.150001525878906,1.0724642,20,-10,256.45663
0,-20.700000762939453,57.20000076293945,1.0721701,20,-10,255.21443
0,-20.700000762939453,57.25,1.072133,20,-10,255.1617
0,-20.700000762939453,57.29999923706055,1.0723537,20,-10,253.67453
0,-20.700000762939453,57.349998474121094,1.0718935,20,-10,251.22623
0,-20.700000762939453,57.400001525878906,1.0718826,20,-10,251.127
0,-20.700000762939453,57.45000076293945,1.0710675,20,-10,251.2519
0,-20.700000762939453,57.5,1.0703632,20,-10,249.0923
0,-20.700000762939453,57.54999923706055,1.0703604,20,-10,249.05899
0,-20.700000762939453,57.599998474121094,1.0699474,20,0,248.75572
0,-20.700000762939453,57.650001525878906,1.0696971,20,0,249.58015
0,-20.700000762939453,57.70000076293945,1.0696753,20,0,249.53574
0,-20.700000762939453,57.75,1.0709594,20,0,252.3109
0,-20.700000762939453,57.79999923706055,1.0713617,20,0,254.63983
0,-20.700000762939453,57.849998474121094,1.0713925,20,0,254.63081
0,-20.700000762939453,57.900001525878906,1.070768,20,0,254.05066
0,-20.700000762939453,57.95000076293945,1.0691026,20,0,250.37404
0,-20.700000762939453,58.0,1.0690978,20,0,250.36919
0,-20.649999618530273,57.099998474121094,1.0719978,20,-10,256.05273
0,-20.649999618530273,57.150001525878906,1.0721254,20,-10,255.56836
0,-20.649999618530273,57.20000076293945,1.072194,20,-10,255.53783
0,-20.649999618530273,57.25,1.0718547,20,-10,253.5059
0,-20.649999618530273,57.29999923706055,1.0711759,20,-10,250.16309
0,-20.649999618530273,57.349998474121094,1.0711454,20,-10,250.11728
0,-20.649999618530273,57.400001525878906,1.0705764,20,-10,247.76822
0,-20.649999618530273,57.45000076293945,1.0696534,20,0,248.23456
0,-20.649999618530273,57.5,1.0696108,20,0,248.13116
0,-20.649999618530273,57.54999923706055,1.0692931,20,0,247.88828
0,-20.649999618530273,57.599998474121094,1.0683475,20,0,247.02846
0,-20.649999618530273,57.650001525878906,1.0683839,20,0,247.01318
0,-20.649999618530273,57.70000076293945,1.0694188,20,0,249.95975
0,-20.649999618530273,57.75,1.0707989,20,0,253.6218
0,-20.649999618530273,57.79999923706055,1.070687,20,0,251.95697
0,-20.649999618530273,57.849998474121094,1.0699844,20,0,251.48717
0,-20.649999618530273,57.900001525878906,1.0698165,20,0,251.1166
0,-20.649999618530273,57.95000076293945,1.0698183,20,0,251.09993
0,-20.649999618530273,58.0,1.0690479,20,0,248.60445
0,-20.600000381469727,57.099998474121094,1.0709182,20,-10,255.57043
0,-20.600000381469727,57.150001525878906,1.0715066,20,-10,255.18736
0,-20.600000381469727,57.20000076293945,1.0712389,20,-10,252.75365
0,-20.600000381469727,57.25,1.0712689,20,-10,252.70645
0,-20.600000381469727,57.29999923706055,1.0703124,20,-10,249.873
0,-20.600000381469727,57.349998474121094,1.0703372,20,-10,247.59402
0,-20.600000381469727,57.400001525878906,1.0703541,20,-10,247.58084
0,-20.600000381469727,57.45000076293945,1.0698242,20,0,247.43303
0,-20.600000381469727,57.5,1.0685683,20,0,245.27759
0,-20.600000381469727,57.54999923706055,1.0685968,20,-10,245.21443
0,-20.600000381469727,57.599998474121094,1.0680243,20,0,244.82512
0,-20.600000381469727,57.650001525878906,1.0685338,20,-10,246.42123
0,-20.600000381469727,57.70000076293945,1.069641,20,0,249.7467
0,-20.600000381469727,57.75,1.0696657,20,0,249.7814
0,-20.600000381469727,57.79999923706055,1.0701871,20,0,250.71269
0,-20.600000381469727,57.849998474121094,1.0701853,20,0,250.70854
0,-20.600000381469727,57.900001525878906,1.0693405,20,0,250.92992
0,-20.600000381469727,57.95000076293945,1.0687546,20,0,249.60722
0,-20.600000381469727,58.0,1.0687606,20,0,249.54337
0,-20.549999237060547,57.099998474121094,1.070436,20,0,254.77863
0,-20.549999237060547,57.150001525878906,1.0699105,20,-10,253.22206
0,-20.549999237060547,57.20000076293945,1.0699232,20,-10,253.1263
0,-20.549999237060547,57.25,1.0694686,20,-10,250.73213
0,-20.549999237060547,57.29999923706055,1.0687146,20,0,248.52325
0,-20.549999237060547,57.349998474121094,1.068744,20,0,248.53227
0,-20.549999237060547,57.400001525878906,1.0686953,20,0,246.64539
0,-20.549999237060547,57.45000076293945,1.0675287,20,0,242.86537
0,-20.549999237060547,57.5,1.0676082,20,0,242.91533
0,-20.549999237060547,57.54999923706055,1.0672727,20,0,242.12352
0,-20.549999237060547,57.599998474121094,1.0676489,20,-10,243.73143
0,-20.549999237060547,57.650001525878906,1.0676904,20,-10,243.67938
0,-20.549999237060547,57.70000076293945,1.0682127,20,0,244.70299
0,-20.549999237060547,57.75,1.069647,20,0,248.46912
0,-20.549999237060547,57.79999923706055,1.069609,20,0,248.56349
0,-20.549999237060547,57.849998474121094,1.0690533,20,0,248.7363
0,-20.549999237060547,57.900001525878906,1.068648,20,0,249.46217
0,-20.549999237060547,57.95000076293945,1.0686226,20,0,249.42957
0,-20.549999237060547,58.0,1.0679473,20,0,249.12074
0,-20.5,57.099998474121094,1.0708228,20,0,256.15405
0,-20.5,57.150001525878906,1.0697007,20,0,253.89174
0,-20.5,57.20000076293945,1.0687872,20,0,251.07079
0,-20.5,57.25,1.0664756,20,0,243.85287
0,-20.5,57.29999923706055,1.0665036,20,0,243.77933
0,-20.5,57.349998474121094,1.059225,20,0,225.81264
0,-20.5,57.400001525878906,1.0574061,20,0,218.34004
0,-20.5,57.45000076293945,1.0574595,20,0,218.3907
0,-20.5,57.5,1.0568321,20,0,217.70229
0,-20.5,57.54999923706055,1.0618018,20,0,228.81055
0,-20.5,57.599998474121094,1.0618297,20,0,228.57043
0,-20.5,57.650001525878906,1.066635,20,0,239.02914
0,-20.5,57.70000076293945,1.0687388,20,0,245.8626
0,-20.5,57.75,1.0687779,20,0,245.89383
0,-20.5,57.79999923706055,1.069274,20,0,248.5524
0,-20.5,57.849998474121094,1.0682654,20,0,247.89244
0,-20.5,57.900001525878906,1.0682542,20,0,248.01735
0,-20.5,57.95000076293945,1.0678009,20,0,249.18736
0,-20.5,58.0,1.0676708,20,0,249.7342
0,-20.450000762939453,57.099998474121094,1.0694989,20,0,255.65996
0,-20.450000762939453,57.150001525878906,1.0675462,20,0,251.82166
0,-20.450000762939453,57.20000076293945,1.067537,20,0,251.6787
0,-20.450000762939453,57.25,1.0624914,20,0,238.91533
0,-20.450000762939453,57.29999923706055,1.0566115,20,10,219.50243
0,-20.450000762939453,57.349998474121094,1.0566256,20,10,219.67107
0,-20.450000762939453,57.400001525878906,1.0517184,20,10,200.94171
0,-20.450000762939453,57.45000076293945,1.047642,20,10,192.20195
0,-20.450000762939453,57.5,1.047667,20,10,192.50174
0,-20.450000762939453,57.54999923706055,1.0536224,20,0,210.5753
0,-20.450000762939453,57.599998474121094,1.0625745,20,0,229.26024
0,-20.450000762939453,57.650001525878906,1.0566521,20,0,215.19917
0,-20.450000762939453,57.70000076293945,1.0647547,20,0,236.69327
0,-20.450000762939453,57.75,1.0676115,20,0,245.47952
0,-20.450000762939453,57.79999923706055,1.0676281,20,0,245.40111
0,-20.450000762939453,57.849998474121094,1.0678531,20,0,247.4129
0,-20.450000762939453,57.900001525878906,1.0681657,20,0,249.42818
0,-20.450000762939453,57.95000076293945,1.0681691,20,0,249.41638
0,-20.450000762939453,58.0,1.0679389,20,0,250.12006
0,-20.399999618530273,57.099998474121094,1.0676169,20,0,252.35323
0,-20.399999618530273,57.150001525878906,1.0676554,20,0,252.30603
0,-20.399999618530273,57.20000076293945,1.0632654,20,10,240.7481
0,-20.399999618530273,57.25,1.0568963,20,10,222.7939
0,-20.399999618530273,57.29999923706055,1.0592787,20,10,227.71478
0,-20.399999618530273,57.349998474121094,1.0533745,20,10,210.65372
0,-20.399999618530273,57.400001525878906,1.0490663,20,10,196.01596
0,-20.399999618530273,57.45000076293945,1.0489627,20,10,196.81264
0,-20.399999618530273,57.5,1.0475086,20,20,190.86537
0,-20.399999618530273,57.54999923706055,1.0501683,20,10,202.71964
