,lat,lon,transposition_factor,tilt,azimuth,POA_GLOBAL_IRRADIANCE
0,-20.75,57.099998474121094,1.0171146,10,-30,275.15717
0,-20.75,57.150001525878906,1.0171152,10,-30,275.14505
0,-20.75,57.20000076293945,1.0166084,10,-30,274.84955
0,-20.75,57.25,1.0175085,10,-30,275.08127
0,-20.75,57.29999923706055,1.0171604,10,-30,274.6333
0,-20.75,57.349998474121094,1.0171804,10,-30,274.5957
0,-20.75,57.400001525878906,1.0163677,10,-20,273.82202
0,-20.75,57.45000076293945,1.0156919,10,-20,272.16724
0,-20.75,57.5,1.0157207,10,-20,272.1538
0,-20.75,57.54999923706055,1.0159767,10,-20,270.59503
0,-20.75,57.599998474121094,1.0161723,10,-20,271.591
0,-20.75,57.650001525878906,1.0161775,10,-20,271.54733
0,-20.75,57.70000076293945,1.0159602,10,-20,272.57825
0,-20.75,57.75,1.0157425,10,-20,273.90396
0,-20.75,57.79999923706055,1.0157634,10,-20,273.85294
0,-20.75,57.849998474121094,1.0165372,10,-20,274.1155
0,-20.75,57.900001525878906,1.0166126,10,-20,274.00067
0,-20.75,57.95000076293945,1.0166214,10,-20,273.9839
0,-20.75,58.0,1.0164163,10,-20,273.0665
0,-20.700000762939453,57.099998474121094,1.0174176,10,-30,275.43384
0,-20.700000762939453,57.150001525878906,1.0168935,10,-30,276.15112
0,-20.700000762939453,57.20000076293945,1.0167581,10,-30,276.4278
0,-20.700000762939453,57.25,1.0167907,10,-30,276.38885
0,-20.700000762939453,57.29999923706055,1.0177032,10,-30,274.84753
0,-20.700000762939453,57.349998474121094,1.0176271,10,-30,272.79517
0,-20.700000762939453,57.400001525878906,1.0176561,10,-30,272.7421
0,-20.700000762939453,57.45000076293945,1.0152456,10,-20,273.03558
0,-20.700000762939453,57.5,1.0161768,10,-30,270.92612
0,-20.700000762939453,57.54999923706055,1.0162061,10,-30,270.908
0,-20.700000762939453,57.599998474121094,1.0160927,10,-30,270.83612
0,-20.700000762939453,57.650001525878906,1.016968,10,-30,270.65213
0,-20.700000762939453,57.70000076293945,1.0169804,10,-30,270.6172
0,-20.700000762939453,57.75,1.0167031,10,-30,271.60175
0,-20.700000762939453,57.79999923706055,1.016286,10,-20,273.24512
0,-20.700000762939453,57.849998474121094,1.016294,10,-20,273.19946
0,-20.700000762939453,57.900001525878906,1.0161817,10,-20,273.37677
0,-20.700000762939453,57.95000076293945,1.0160403,10,-20,273.49295
0,-20.700000762939453,58.0,1.0160611,10,-20,273.48422
0,-20.649999618530273,57.099998474121094,1.0169386,10,-30,276.1135
0,-20.649999618530273,57.150001525878906,1.0170639,10,-30,276.683
0,-20.649999618530273,57.20000076293945,1.0170871,10,-30,276.6716
0,-20.649999618530273,57.25,1.0169821,10,-30,275.01477
0,-20.649999618530273,57.29999923706055,1.0174297,10,-30,271.95166
0,-20.649999618530273,57.349998474121094,1.0174637,10,-30,271.90195
0,-20.649999618530273,57.400001525878906,1.0170847,10,-30,271.7918
0,-20.649999618530273,57.45000076293945,1.015531,10,-20,271.82538
0,-20.649999618530273,57.5,1.0155528,10,-20,271.8435
0,-20.649999618530273,57.54999923706055,1.015444,10,-20,270.90262
0,-20.649999618530273,57.599998474121094,1.0164701,10,-30,270.6971
0,-20.649999618530273,57.650001525878906,1.0165001,10,-30,270.6669
0,-20.649999618530273,57.70000076293945,1.016493,10,-30,270.82538
0,-20.649999618530273,57.75,1.0159935,10,-20,272.19073
0,-20.649999618530273,57.79999923706055,1.0161724,10,-20,271.20953
0,-20.649999618530273,57.849998474121094,1.0160415,10,-20,272.83478
0,-20.649999618530273,57.900001525878906,1.0162343,10,-20,272.4204
0,-20.649999618530273,57.95000076293945,1.0162444,10,-20,272.3808
0,-20.649999618530273,58.0,1.015054,10,-20,272.2008
0,-20.600000381469727,57.099998474121094,1.0173694,10,-30,274.25656
0,-20.600000381469727,57.150001525878906,1.0170063,10,-30,275.19275
0,-20.600000381469727,57.20000076293945,1.0161961,10,-30,274.48624
0,-20.600000381469727,57.25,1.0162123,10,-30,274.42578
0,-20.600000381469727,57.29999923706055,1.0155694,10,-20,273.4869
0,-20.600000381469727,57.349998474121094,1.0168037,10,-30,271.26193
0,-20.600000381469727,57.400001525878906,1.0168183,10,-30,271.23303
0,-20.600000381469727,57.45000076293945,1.0163028,10,-30,268.90732
0,-20.600000381469727,57.5,1.0154058,10,-20,268.99933
0,-20.600000381469727,57.54999923706055,1.0154465,10,-20,268.9624
0,-20.600000381469727,57.599998474121094,1.0154812,10,-20,270.74612
0,-20.600000381469727,57.650001525878906,1.0160758,10,-30,270.81934
0,-20.600000381469727,57.70000076293945,1.0157104,10,-20,271.98187
