,lat,lon,transposition_factor,tilt,azimuth,POA_GLOBAL_IRRADIANCE
0,-20.75,57.099998474121094,1.2250322,40,0,193.01208
0,-20.75,57.150001525878906,1.2250043,40,0,192.99866
0,-20.75,57.20000076293945,1.22081,40,0,189.78308
0,-20.75,57.25,1.22002,40,0,189.13835
0,-20.75,57.29999923706055,1.217617,40,0,188.04701
0,-20.75,57.349998474121094,1.2174968,40,0,188.01208
0,-20.75,57.400001525878906,1.2190782,40,0,188.76964
0,-20.75,57.45000076293945,1.2198526,40,0,189.83412
0,-20.75,57.5,1.219854,40,0,189.76225
0,-20.75,57.54999923706055,1.2217411,40,0,189.48557
0,-20.75,57.599998474121094,1.2186697,40,0,187.09402
0,-20.75,57.650001525878906,1.2186369,40,0,187.05708
0,-20.75,57.70000076293945,1.2159652,40,0,185.01208
0,-20.75,57.75,1.2179797,40,0,185.94762
0,-20.75,57.79999923706055,1.2178836,40,0,185.82336
0,-20.75,57.849998474121094,1.2186202,40,0,187.22229
0,-20.75,57.900001525878906,1.2198875,40,0,187.6595
0,-20.75,57.95000076293945,1.2198225,40,0,187.63802
0,-20.75,58.0,1.2212512,40,0,189.38416
0,-20.700000762939453,57.099998474121094,1.2266244,40,0,196.11081
0,-20.700000762939453,57.150001525878906,1.2220726,40,0,193.19006
0,-20.700000762939453,57.20000076293945,1.2185148,40,0,189.62593
0,-20.700000762939453,57.25,1.2184973,40,0,189.61584
0,-20.700000762939453,57.29999923706055,1.217375,40,0,188.5198
0,-20.700000762939453,57.349998474121094,1.2163345,40,0,187.4258
0,-20.700000762939453,57.400001525878906,1.2162391,40,0,187.33513
0,-20.700000762939453,57.45000076293945,1.218294,40,0,188.73003
0,-20.700000762939453,57.5,1.214357,40,0,186.38953
0,-20.700000762939453,57.54999923706055,1.214362,40,0,186.3593
0,-20.700000762939453,57.599998474121094,1.2140217,40,0,185.5366
0,-20.700000762939453,57.650001525878906,1.2136602,40,0,184.41034
0,-20.700000762939453,57.70000076293945,1.2135203,40,0,184.33446
0,-20.700000762939453,57.75,1.2125531,40,0,183.74211
0,-20.700000762939453,57.79999923706055,1.2147508,40,0,184.95702
0,-20.700000762939453,57.849998474121094,1.2146288,40,0,184.90665
0,-20.700000762939453,57.900001525878906,1.2169579,40,0,186.68167
0,-20.700000762939453,57.95000076293945,1.220275,40,0,188.6501
0,-20.700000762939453,58.0,1.2202622,40,0,188.60712
0,-20.649999618530273,57.099998474121094,1.223114,40,0,194.94829
0,-20.649999618530273,57.150001525878906,1.2216501,40,0,193.29886
0,-20.649999618530273,57.20000076293945,1.2216657,40,0,193.31363
0,-20.649999618530273,57.25,1.2189759,40,0,191.17865
0,-20.649999618530273,57.29999923706055,1.2136194,40,0,187.84285
0,-20.649999618530273,57.349998474121094,1.2134979,40,0,187.77434
0,-20.649999618530273,57.400001525878906,1.2134366,40,0,186.32976
0,-20.649999618530273,57.45000076293945,1.2128813,40,0,185.6857
0,-20.649999618530273,57.5,1.2129633,40,0,185.64204
0,-20.649999618530273,57.54999923706055,1.2091677,40,0,183.32573
0,-20.649999618530273,57.599998474121094,1.209312,40,0,182.26662
0,-20.649999618530273,57.650001525878906,1.2092917,40,0,182.22296
0,-20.649999618530273,57.70000076293945,1.2085528,40,0,181.46474
0,-20.649999618530273,57.75,1.2109219,40,0,182.94762
0,-20.649999618530273,57.79999923706055,1.2064555,40,0,180.86299
0,-20.649999618530273,57.849998474121094,1.210126,40,0,182.73473
0,-20.649999618530273,57.900001525878906,1.2142333,40,0,185.37811
0,-20.649999618530273,57.95000076293945,1.2141376,40,0,185.31296
0,-20.649999618530273,58.0,1.2164854,40,0,186.97112
0,-20.600000381469727,57.099998474121094,1.2274308,40,0,197.86366
0,-20.600000381469727,57.150001525878906,1.2253441,40,0,195.71188
0,-20.600000381469727,57.20000076293945,1.2205452,40,0,191.75755
0,-20.600000381469727,57.25,1.2205752,40,0,191.72868
0,-20.600000381469727,57.29999923706055,1.2140982,40,0,187.31766
0,-20.600000381469727,57.349998474121094,1.2105379,40,0,184.80255
0,-20.600000381469727,57.400001525878906,1.210583,40,0,184.77367
0,-20.600000381469727,57.45000076293945,1.2083665,40,0,181.19006
0,-20.600000381469727,57.5,1.2069104,40,0,180.32976
0,-20.600000381469727,57.54999923706055,1.2068988,40,0,180.27939
0,-20.600000381469727,57.599998474121094,1.2029814,40,0,178.4258
0,-20.600000381469727,57.650001525878906,1.2034936,40,0,178.28275
0,-20.600000381469727,57.70000076293945,1.2056106,40,0,179.6951
0,-20.600000381469727,57.75,1.2056395,40,0,179.70181
0,-20.600000381469727,57.79999923706055,1.2074801,40,0,180.37677
0,-20.600000381469727,57.849998474121094,1.207395,40,0,180.33647
0,-20.600000381469727,57.900001525878906,1.211174,40,0,183.28342
0,-20.600000381469727,57.95000076293945,1.2140758,40,0,185.84084
0,-20.600000381469727,58.0,1.214055,40,0,185.76427
0,-20.549999237060547,57.099998474121094,1.2284501,40,0,197.87038
0,-20.549999237060547,57.150001525878906,1.2244954,40,0,194.50235
0,-20.549999237060547,57.20000076293945,1.2246166,40,0,194.49362
0,-20.549999237060547,57.25,1.2177577,40,0,189.51712
0,-20.549999237060547,57.29999923706055,1.2117723,40,0,184.70047
0,-20.549999237060547,57.349998474121094,1.2117472,40,0,184.70316
0,-20.549999237060547,57.400001525878906,1.2049887,40,0,178.50504
0,-20.549999237060547,57.45000076293945,1.2038108,40,0,175.74345
0,-20.549999237060547,57.5,1.2037653,40,0,175.67293
0,-20.549999237060547,57.54999923706055,1.199568,40,0,174.93553
0,-20.549999237060547,57.599998474121094,1.1998163,40,0,175.5245
0,-20.549999237060547,57.650001525878906,1.1997648,40,0,175.46138
0,-20.549999237060547,57.70000076293945,1.1975257,40,0,174.16722
0,-20.549999237060547,57.75,1.2036897,40,0,177.73137
0,-20.549999237060547,57.79999923706055,1.2037503,40,0,177.66756
0,-20.549999237060547,57.849998474121094,1.2094878,40,0,181.53526
0,-20.549999237060547,57.900001525878906,1.2134911,40,0,184.90866
0,-20.549999237060547,57.95000076293945,1.2133794,40,0,184.8395
0,-20.549999237060547,58.0,1.2138518,40,0,185.86769
0,-20.5,57.099998474121094,1.226237,40,0,197.28006
0,-20.5,57.150001525878906,1.2243252,40,0,194.27467
0,-20.5,57.20000076293945,1.2193738,40,0,190.12895
0,-20.5,57.25,1.2100844,40,0,183.70853
0,-20.5,57.29999923706055,1.2102175,40,0,183.70517
0,-20.5,57.349998474121094,1.1922671,40,10,167.35057
0,-20.5,57.400001525878906,1.1700412,40,0,153.02553
0,-20.5,57.45000076293945,1.1699104,40,0,153.00134
0,-20.5,57.5,1.165061,40,0,148.7092
0,-20.5,57.54999923706055,1.17943,40,0,159.26662
0,-20.5,57.599998474121094,1.1792418,40,0,159.0638
0,-20.5,57.650001525878906,1.1891174,40,0,168.60712
0,-20.5,57.70000076293945,1.1986932,40,0,175.3143
0,-20.5,57.75,1.1984597,40,0,175.26729
0,-20.5,57.79999923706055,1.2073735,40,0,180.96574
0,-20.5,57.849998474121094,1.2129737,40,0,185.03023
0,-20.5,57.900001525878906,1.2131147,40,0,185.02484
0,-20.5,57.95000076293945,1.2135643,40,0,185.85628
0,-20.5,58.0,1.2152892,40,0,187.74547
0,-20.450000762939453,57.099998474121094,1.2243676,40,0,193.76091
0,-20.450000762939453,57.150001525878906,1.2235739,40,0,191.21692
0,-20.450000762939453,57.20000076293945,1.2236478,40,0,191.18738
0,-20.450000762939453,57.25,1.2108921,40,0,181.5037
0,-20.450000762939453,57.29999923706055,1.1852916,40,10,161.82135
0,-20.450000762939453,57.349998474121094,1.1853846,40,10,161.93755
0,-20.450000762939453,57.400001525878906,1.1491622,40,10,138.58093
0,-20.450000762939453,57.45000076293945,1.1305413,30,0,128.5742
0,-20.450000762939453,57.5,1.1307917,30,0,128.69913
0,-20.450000762939453,57.54999923706055,1.155305,40,0,143.39825
0,-20.450000762939453,57.599998474121094,1.1784863,40,0,159.99396
0,-20.450000762939453,57.650001525878906,1.1586764,40,0,146.24379
0,-20.450000762939453,57.70000076293945,1.1835136,40,0,163.57286
0,-20.450000762939453,57.75,1.1969347,40,0,174.38751
0,-20.450000762939453,57.79999923706055,1.196839,40,0,174.22969
0,-20.450000762939453,57.849998474121094,1.2040943,40,0,179.10275
0,-20.450000762939453,57.900001525878906,1.2089443,40,0,183.01746
0,-20.450000762939453,57.95000076293945,1.208891,40,0,182.97852
0,-20.450000762939453,58.0,1.2136075,40,0,187.04634
0,-20.399999618530273,57.099998474121094,1.2232854,40,0,191.5366
0,-20.399999618530273,57.150001525878906,1.2233037,40,0,191.52383
0,-20.399999618530273,57.20000076293945,1.2172711,40,0,186.24983
0,-20.399999618530273,57.25,1.199081,40,0,176.30759
0,-20.399999618530273,57.29999923706055,1.2169211,40,0,188.65547
0,-20.399999618530273,57.349998474121094,1.1944423,40,0,176.40765
0,-20.399999618530273,57.400001525878906,1.1470065,40,0,145.99799
0,-20.399999618530273,57.45000076293945,1.1470942,40,0,146.67091
0,-20.399999618530273,57.5,1.1282088,30,0,131.31699
0,-20.399999618530273,57.54999923706055,1.1406267,40,0,138.11618
0,-20.399999618530273,57.599998474121094,1.1404598,40,0,137.28409
0,-20.399999618530273,57.650001525878906,1.1637553,40,0,152.79584
0,-20.399999618530273,57.70000076293945,1.1880747,40,0,170.62794
0,-20.399999618530273,57.75,1.1879201,40,0,170.49564
0,-20.399999618530273,57.79999923706055,1.2026951,40,0,177.78241
0,-20.399999618530273,57.849998474121094,1.2075218,40,0,182.07791
0,-20.399999618530273,57.900001525878906,1.2071099,40,0,181.52048
0,-20.399999618530273,57.95000076293945,1.2101141,40,0,185.56682
0,-20.399999618530273,58.0,1.2152157,40,0,188.6098
0,-20.350000381469727,57.099998474121094,1.2296833,40,0,197.25722
0,-20.350000381469727,57.150001525878906,1.2299222,40,0,194.88113
0,-20.350000381469727,57.20000076293945,1.2297741,40,0,194.77838
0,-20.350000381469727,57.25,1.2254423,40,0,193.89725
0,-20.350000381469727,57.29999923706055,1.2161007,40,0,191.60242
0,-20.350000381469727,57.349998474121094,1.2162886,40,0,191.85829
0,-20.350000381469727,57.400001525878906,1.1875927,40,0,174.51712
0,-20.350000381469727,57.45000076293945,1.1412449,40,0,142.88785
0,-20.350000381469727,57.5,1.1415575,40,0,143.33714
0,-20.350000381469727,57.54999923706055,1.1293777,30,0,132.32303
0,-20.350000381469727,57.599998474121094,1.1282657,30,0,129.818
0,-20.350000381469727,57.650001525878906,1.1280882,30,0,129.59302
0,-20.350000381469727,57.70000076293945,1.1455625,40,0,140.27333
0,-20.350000381469727,57.75,1.183825,40,0,167.04097
0,-20.350000381469727,57.79999923706055,1.1849245,40,0,165.12627
0,-20.350000381469727,57.849998474121094,1.2056413,40,0,180.39355
0,-20.350000381469727,57.900001525878906,1.2090284,40,0,184.9456
0,-20.350000381469727,57.95000076293945,1.2089618,40,0,184.93217
0,-20.350000381469727,58.0,1.2137492,40,0,188.14171
0,-20.299999237060547,57.099998474121094,1.23296,40,0,198.70114
0,-20.299999237060547,57.150001525878906,1.2329754,40,0,198.6763
0,-20.299999237060547,57.20000076293945,1.2311572,40,0,197.02484
0,-20.299999237060547,57.25,1.2285614,40,0,198.35863
0,-20.299999237060547,57.29999923706055,1.228554,40,0,198.49026
0,-20.299999237060547,57.349998474121094,1.227511,40,0,201.35057
0,-20.299999237060547,57.400001525878906,1.2053282,40,0,189.23976
0,-20.299999237060547,57.45000076293945,1.2050837,40,0,190.1135
0,-20.299999237060547,57.5,1.1630437,40,10,159.21826
0,-20.299999237060547,57.54999923706055,1.1352541,40,10,137.8415
0,-20.299999237060547,57.599998474121094,1.1349113,40,10,137.04836
0,-20.299999237060547,57.650001525878906,1.1370064,40,0,135.75352
0,-20.299999237060547,57.70000076293945,1.1696588,40,0,156.99664
0,-20.299999237060547,57.75,1.1695162,40,0,156.84084
0,-20.299999237060547,57.79999923706055,1.1999617,40,0,176.76427
0,-20.299999237060547,57.849998474121094,1.2090577,40,0,185.58832
0,-20.299999237060547,57.900001525878906,1.2089188,40,0,185.48825
0,-20.299999237060547,57.95000076293945,1.2147071,40,0,189.95769
0,-20.299999237060547,58.0,1.2177987,40,0,191.85359
0,-20.25,57.099998474121094,1.2314796,40,0,198.91
0,-20.25,57.150001525878906,1.2318729,40,0,198.86433
0,-20.25,57.20000076293945,1.2318752,40,0,198.80927
0,-20.25,57.25,1.2263373,40,0,196.93956
0,-20.25,57.29999923706055,1.228299,40,0,200.8603
0,-20.25,57.349998474121094,1.223821,40,0,201.16856
0,-20.25,57.400001525878906,1.2243816,40,0,202.04433
0,-20.25,57.45000076293945,1.1927919,40,0,180.86299
0,-20.25,57.5,1.1699985,40,10,164.96507
0,-20.25,57.54999923706055,1.1697907,40,10,164.88315
0,-20.25,57.599998474121094,1.1527697,40,10,150.81464
0,-20.25,57.650001525878906,1.1653587,40,0,158.56078
0,-20.25,57.70000076293945,1.1647344,40,0,157.74681
0,-20.25,57.75,1.1888204,40,0,173.31229
0,-20.25,57.79999923706055,1.2079811,40,0,184.75621
0,-20.25,57.849998474121094,1.2078574,40,0,184.6951
0,-20.25,57.900001525878906,1.2163999,40,0,191.01074
0,-20.25,57.95000076293945,1.2187186,40,0,192.49698
0,-20.25,58.0,1.2187449,40,0,192.51175
0,-20.200000762939453,57.099998474121094,1.2322348,40,0,200.35527
0,-20.200000762939453,57.150001525878906,1.2330805,40,0,201.41034
0,-20.200000762939453,57.20000076293945,1.229085,40,0,197.36266
0,-20.200000762939453,57.25,1.2227182,40,0,195.51913
0,-20.200000762939453,57.29999923706055,1.2228078,40,0,195.56548
0,-20.200000762939453,57.349998474121094,1.2226254,40,0,198.6951
0,-20.200000762939453,57.400001525878906,1.2136575,40,0,195.71591
0,-20.200000762939453,57.45000076293945,1.2131819,40,0,196.67966
0,-20.200000762939453,57.5,1.1806097,40,0,174.75957
0,-20.200000762939453,57.54999923706055,1.1628828,40,10,160.37474
0,-20.200000762939453,57.599998474121094,1.1631511,40,10,159.62122
0,-20.200000762939453,57.650001525878906,1.1694564,40,0,163.94695
0,-20.200000762939453,57.70000076293945,1.1874241,40,0,174.70047
0,-20.200000762939453,57.75,1.1872035,40,0,174.46071
0,-20.200000762939453,57.79999923706055,1.2054579,40,0,182.91873
0,-20.200000762939453,57.849998474121094,1.2142426,40,0,188.8771
0,-20.200000762939453,57.900001525878906,1.2139897,40,0,188.70651
0,-20.200000762939453,57.95000076293945,1.2158576,40,0,190.90598
0,-20.200000762939453,58.0,1.2212152,40,0,194.56279
0,-20.149999618530273,57.099998474121094,1.2301755,40,0,199.30826
0,-20.149999618530273,57.150001525878906,1.2274289,40,0,196.98792
0,-20.149999618530273,57.20000076293945,1.225002,40,0,193.29282
0,-20.149999618530273,57.25,1.2233571,40,0,195.7092
0,-20.149999618530273,57.29999923706055,1.2200122,40,0,194.1753
0,-20.149999618530273,57.349998474121094,1.2194299,40,0,196.62794
0,-20.149999618530273,57.400001525878906,1.2197216,40,0,197.05507
0,-20.149999618530273,57.45000076293945,1.2205012,40,0,202.46877
0,-20.149999618530273,57.5,1.2048601,40,0,192.69913
0,-20.149999618530273,57.54999923706055,1.204792,40,0,192.68906
0,-20.149999618530273,57.599998474121094,1.1871346,40,0,178.41302
0,-20.149999618530273,57.650001525878906,1.1912732,40,0,179.39423
0,-20.149999618530273,57.70000076293945,1.1906396,40,0,178.72868
0,-20.149999618530273,57.75,1.2052095,40,0,186.53795
0,-20.149999618530273,57.79999923706055,1.211698,40,0,187.69846
0,-20.149999618530273,57.849998474121094,1.2115715,40,0,187.62189
0,-20.149999618530273,57.900001525878906,1.2146674,40,0,189.88785
0,-20.149999618530273,57.95000076293945,1.2193121,40,0,193.65279
0,-20.149999618530273,58.0,1.2192507,40,0,193.66353
0,-20.100000381469727,57.099998474121094,1.2311213,40,0,200.32303
0,-20.100000381469727,57.150001525878906,1.2312466,40,0,200.37071
0,-20.100000381469727,57.20000076293945,1.2281913,40,0,198.08194
0,-20.100000381469727,57.25,1.226816,40,0,200.45467
0,-20.100000381469727,57.29999923706055,1.2267306,40,0,200.34923
0,-20.100000381469727,57.349998474121094,1.2275153,40,0,202.0759
0,-20.100000381469727,57.400001525878906,1.2257067,40,0,204.9268
0,-20.100000381469727,57.45000076293945,1.2251846,40,0,205.79315
0,-20.100000381469727,57.5,1.217618,40,0,203.43788
0,-20.100000381469727,57.54999923706055,1.1991857,40,0,189.67831
0,-20.100000381469727,57.599998474121094,1.1997501,40,0,188.95702
0,-20.100000381469727,57.650001525878906,1.1930107,40,0,182.19812
0,-20.100000381469727,57.70000076293945,1.2058191,40,0,188.23573
0,-20.100000381469727,57.75,1.2058239,40,0,188.13768
0,-20.100000381469727,57.79999923706055,1.2095635,40,0,185.9194
0,-20.100000381469727,57.849998474121094,1.2152239,40,0,190.01074
0,-20.100000381469727,57.900001525878906,1.2151697,40,0,189.94023
0,-20.100000381469727,57.95000076293945,1.2209738,40,0,193.97986
0,-20.100000381469727,58.0,1.2219148,40,0,195.1773
0,-20.049999237060547,57.099998474121094,1.2316318,40,0,201.69644
0,-20.049999237060547,57.150001525878906,1.2311356,40,0,200.53123
0,-20.049999237060547,57.20000076293945,1.2308482,40,0,201.39288
0,-20.049999237060547,57.25,1.2308394,40,0,201.39557
0,-20.049999237060547,57.29999923706055,1.230341,40,0,201.79987
0,-20.049999237060547,57.349998474121094,1.2323688,40,0,204.72801
0,-20.049999237060547,57.400001525878906,1.2323575,40,0,204.74681
0,-20.049999237060547,57.45000076293945,1.2246603,40,0,206.68301
0,-20.049999237060547,57.5,1.2152961,40,0,201.40698
0,-20.049999237060547,57.54999923706055,1.2152494,40,0,201.38617
0,-20.049999237060547,57.599998474121094,1.2068555,40,0,191.97919
0,-20.049999237060547,57.650001525878906,1.2094575,40,0,191.31766
0,-20.049999237060547,57.70000076293945,1.2092303,40,0,191.01208
0,-20.049999237060547,57.75,1.209341,40,0,190.24178
0,-20.049999237060547,57.79999923706055,1.2144775,40,0,190.19745
0,-20.049999237060547,57.849998474121094,1.2143351,40,0,190.1303
0,-20.049999237060547,57.900001525878906,1.2230223,40,0,195.62526
0,-20.049999237060547,57.95000076293945,1.2232511,40,0,196.76762
0,-20.049999237060547,58.0,1.224723,40,0,197.23305
0,-20.0,57.099998474121094,1.2284606,40,0,200.37273
0,-20.0,57.150001525878906,1.2285343,40,0,200.3996
0,-20.0,57.20000076293945,1.2322019,40,0,202.96574
0,-20.0,57.25,1.2333512,40,0,204.12088
0,-20.0,57.29999923706055,1.2333219,40,0,204.09201
0,-20.0,57.349998474121094,1.2322907,40,0,205.35393
0,-20.0,57.400001525878906,1.2283531,40,0,205.42041
0,-20.0,57.45000076293945,1.2264048,40,0,207.9691
0,-20.0,57.5,1.2196227,40,0,204.63533
0,-20.0,57.54999923706055,1.2123109,40,0,197.10678
0,-20.0,57.599998474121094,1.2115384,40,0,193.5695
0,-20.0,57.650001525878906,1.2176478,40,0,198.47414
0,-20.0,57.70000076293945,1.2143949,40,0,196.28342
0,-20.0,57.75,1.2137674,40,0,195.55675
0,-20.0,57.79999923706055,1.2152944,40,0,192.93553
0,-20.0,57.849998474121094,1.2206378,40,0,194.87576
0,-20.0,57.900001525878906,1.2245154,40,0,197.47346
0,-20.0,57.95000076293945,1.2244039,40,0,197.42915
0,-20.0,58.0,1.22813,40,0,200.12828
0,-19.950000762939453,57.099998474121094,1.2264624,40,0,200.19342
0,-19.950000762939453,57.150001525878906,1.231355,40,0,202.86098
0,-19.950000762939453,57.20000076293945,1.2337488,40,0,205.50906
0,-19.950000762939453,57.25,1.2360659,40,0,207.6051
0,-19.950000762939453,57.29999923706055,1.2366531,40,0,209.6239
0,-19.950000762939453,57.349998474121094,1.2347904,40,0,209.20618
0,-19.950000762939453,57.400001525878906,1.234695,40,0,209.06313
0,-19.950000762939453,57.45000076293945,1.2273991,40,0,207.84755
0,-19.950000762939453,57.5,1.220603,40,0,203.06111
0,-19.950000762939453,57.54999923706055,1.2205672,40,0,203.02484
0,-19.950000762939453,57.599998474121094,1.2195487,40,0,201.44258
0,-19.950000762939453,57.650001525878906,1.2170312,40,0,198.76024
0,-19.950000762939453,57.70000076293945,1.2169812,40,0,198.636
0,-19.950000762939453,57.75,1.2166824,40,0,197.79382
0,-19.950000762939453,57.79999923706055,1.2216285,40,0,196.23506
0,-19.950000762939453,57.849998474121094,1.2216294,40,0,196.20483
0,-19.950000762939453,57.900001525878906,1.225532,40,0,199.62593
0,-19.950000762939453,57.95000076293945,1.2256892,40,0,201.26326
0,-19.950000762939453,58.0,1.2256006,40,0,201.24379
0,-19.899999618530273,57.099998474121094,1.2326863,40,0,204.4231
0,-19.899999618530273,57.150001525878906,1.2328111,40,0,204.4587
0,-19.899999618530273,57.20000076293945,1.2353529,40,0,207.6098
0,-19.899999618530273,57.25,1.2381725,40,0,211.46474
0,-19.899999618530273,57.29999923706055,1.2380499,40,0,211.44795
